factor,total
Unspecified,620115
Driver Inattention/Distraction,372439
Failure to Yield Right-of-Way,111036
Following Too Closely,94965
Backing Unsafely,69742
Other Vehicular,57030
Passing or Lane Usage Improper,52126
Passing Too Closely,48333
Turning Improperly,44243
Fatigued/Drowsy,37645
Unsafe Lane Changing,34797
Traffic Control Disregarded,32684
Driver Inexperience,29105
Unsafe Speed,25961
Alcohol Involvement,20392
Reaction to Uninvolved Vehicle,17592
Lost Consciousness,17434
Pavement Slippery,16853
Prescription Medication,13027
View Obstructed/Limited,12533
